node_id:ID,name
a285,"Crawford, F. Marion (Francis Marion)"
a286,"Euripides"
a287,"Calkin, John Baptiste"
a288,"Conrad, Joseph"
a289,"Pierpont, James"
a290,"Browne, Theo. Stephenson"
a291,"Stevenson, Augusta"
a292,"Clough, Ethlyn T."
a293,"Soissons, Count de"
a294,"Child, Lydia Maria"
a295,"Hazlitt, William Carew"
a296,"Wodehouse, P. G. (Pelham Grenville)"
a297,"Yonge, Charles Duke"
a298,"Orczy, Emmuska Orczy, Baroness"
a299,"Cooke, John Esten"
a300,"Owen, Will"
a301,"Jacobs, W. W. (William Wymark)"
a302,"Hume, David"
a303,"Langworthy, John Luther"
a304,"Prévost, Marcel"
a305,"Barnum, Vance"
a306,"Ferri, Enrico"
a307,"Bradley, Alice"
a308,"Grattan, Thomas Colley"
a309,"Beach, Charles Amory"
a310,"Boothby, Guy"
a311,"Gilfillan, George"
a312,"Halsey, Francis W. (Francis Whiting)"
a313,"International Committee of the Red Cross"
a314,"Montagu, Mary Wortley, Lady"
a315,"Trumbull, H. Clay (Henry Clay)"
a316,"Grayson, David"
a317,"Knowles, Frederic Lawrence"
a318,"Cibber, Theophilus"
a319,"Snell, Roy J. (Roy Judson)"
a320,"Burroughs, Edgar Rice"
a321,"Kerr, Robert"
a322,"Beynon, William George Laurence, Sir"
a323,"Spenser, Edmund"
a324,"Wright, Blanche Fisher"
a325,"Smith, Arthur Cosslett"
a326,"Elgin, James Bruce, Earl of"
a327,"Henderson, Hubert Douglas, Sir"
a328,"Adams, Brooks"
a329,"Locke, John"
a330,"Benwell, John"
a331,"Fletcher, John"
a332,"Stribling, T. S. (Thomas Sigismund)"
a333,"Glaspell, Susan"
a334,"Blackwood, Algernon"
a335,"Keeling, Annie E."
a336,"Wilkinson, Spenser"
a337,"Havergal, Frances Ridley"
a338,"Halleck, Reuben Post"
a339,"Daniel, Florence"
a340,"Tasso, Torquato"
a341,"Yule, Henry, Sir"
a342,"Booth, Mary L. (Mary Louise)"
a343,"Heffner, George H."
a344,"Kleiser, Grenville"
a345,"Cram, Ralph Adams"
a346,"Mee, Arthur"
a347,"Clark, Badger"
a348,"Airy, George Biddell"
a349,"De Quincey, Thomas"
a350,"Bennett, Arnold"
a351,"Long, George"
a352,"Overton, William Hassell"
a353,"Wren, Percival Christopher"
a354,"Wilson, John Dover"
a355,"Grant, Ulysses S. (Ulysses Simpson)"
a356,"Darwin, Erasmus"
a357,"Jacobus, de Cessolis, active 1288-1322"
a358,"Hakluyt, Richard"
a359,"Kitson, Harry Dexter"
a360,"Gardiner, A. G. (Alfred George)"
a361,"Rizal, José"
a362,"Harris, Thaddeus Mason"
a363,"Bury, J. B. (John Bagnell)"
a364,"Frey, Hildegard G."
a365,"Zola, Émile"
a366,"Old Sleuth"
a367,"Kossuth, Lajos"
a368,"Ellenborough, Edward Law, Earl of"
a369,"Bridge, Cyprian, Sir"
a370,"Curwood, James Oliver"
a371,"Hardy, Thomas"
a372,"Belloc, Hilaire"
a373,"Mommsen, Theodor"
a374,"Dickson, William P. (William Purdie)"
a375,"Campbell, Blendon"
a376,"Shiel, M. P. (Matthew Phipps)"
a377,"Hobson, J. A. (John Atkinson)"
a378,"Melville, Herman"
a379,"Bullitt, William C. (William Christian)"
a380,"Saunders, T. Bailey (Thomas Bailey)"
a381,"Abercrombie, Lascelles"
a382,"Pindar"
a383,"Ostrovsky, Aleksandr Nikolaevich"
a384,"Stowe, Harriet Beecher"
a385,"Alger, Horatio, Jr."
a386,"Chaplin, Ralph"
a387,"Newell, Jane H. (Jane Hancox)"
a388,"Barrett, Frank"
a389,"Walton, O. F., Mrs."
a390,"Schopenhauer, Arthur"
a391,"McCleary, J. T. (James Thompson)"
a392,"Fox, John"
a393,"Merrill, Rufus"
a394,"Draycott, Gladys M."
a395,"Allen, James"
a396,"Spafford, Oliver"
a397,"Falkner, John Meade"
a398,"Phelps, Elizabeth Stuart"
a399,"Rostand, Edmond"
a400,"Sheard, Virna"
a401,"Lomax, E. L. (Edward Lloyd)"
a402,"Mason, A. E. W. (Alfred Edward Woodley)"
a403,"Rushkoff, Douglas"
a404,"Smith, John Stafford"
a405,"Bramah, Ernest"
a406,"Torrey, Bradford"
a407,"Eliot, George"
a408,"Adams, St. Clair"
a409,"Brayman, James O."
a410,"Philp, Robert Kemp"
a411,"Barrie, J. M. (James Matthew)"
a412,"Wilkes, Charles"
a413,"Miller, John Maurice"
a414,"Bingham, Hiram"
