node_id:ID,name
295,"Hazlitt, William Carew"
296,"Wodehouse, P. G. (Pelham Grenville)"
297,"Yonge, Charles Duke"
298,"Orczy, Emmuska Orczy, Baroness"
299,"Cooke, John Esten"
300,"Owen, Will"
301,"Jacobs, W. W. (William Wymark)"
302,"Hume, David"
303,"Langworthy, John Luther"
304,"Prévost, Marcel"
305,"Barnum, Vance"
306,"Ferri, Enrico"
307,"Bradley, Alice"
308,"Grattan, Thomas Colley"
309,"Beach, Charles Amory"
310,"Boothby, Guy"
311,"Gilfillan, George"
312,"Halsey, Francis W. (Francis Whiting)"
313,"International Committee of the Red Cross"
314,"Montagu, Mary Wortley, Lady"
315,"Trumbull, H. Clay (Henry Clay)"
316,"Grayson, David"
317,"Knowles, Frederic Lawrence"
318,"Cibber, Theophilus"
319,"Snell, Roy J. (Roy Judson)"
320,"Burroughs, Edgar Rice"
321,"Kerr, Robert"
322,"Beynon, William George Laurence, Sir"
323,"Spenser, Edmund"
324,"Wright, Blanche Fisher"
325,"Smith, Arthur Cosslett"
326,"Elgin, James Bruce, Earl of"
327,"Henderson, Hubert Douglas, Sir"
328,"Adams, Brooks"
329,"Locke, John"
330,"Benwell, John"
331,"Fletcher, John"
332,"Stribling, T. S. (Thomas Sigismund)"
333,"Glaspell, Susan"
334,"Blackwood, Algernon"
335,"Keeling, Annie E."
336,"Wilkinson, Spenser"
337,"Havergal, Frances Ridley"
338,"Halleck, Reuben Post"
339,"Daniel, Florence"
340,"Tasso, Torquato"
341,"Yule, Henry, Sir"
342,"Booth, Mary L. (Mary Louise)"
343,"Heffner, George H."
344,"Kleiser, Grenville"
345,"Cram, Ralph Adams"
346,"Mee, Arthur"
347,"Clark, Badger"
348,"Airy, George Biddell"
349,"De Quincey, Thomas"
350,"Bennett, Arnold"
351,"Long, George"
352,"Overton, William Hassell"
353,"Wren, Percival Christopher"
354,"Wilson, John Dover"
355,"Grant, Ulysses S. (Ulysses Simpson)"
356,"Darwin, Erasmus"
357,"Jacobus, de Cessolis, active 1288-1322"
358,"Hakluyt, Richard"
359,"Kitson, Harry Dexter"
360,"Gardiner, A. G. (Alfred George)"
361,"Rizal, José"
362,"Harris, Thaddeus Mason"
363,"Bury, J. B. (John Bagnell)"
364,"Frey, Hildegard G."
365,"Zola, Émile"
366,"Old Sleuth"
367,"Kossuth, Lajos"
368,"Ellenborough, Edward Law, Earl of"
369,"Bridge, Cyprian, Sir"
370,"Curwood, James Oliver"
371,"Hardy, Thomas"
372,"Belloc, Hilaire"
373,"Mommsen, Theodor"
374,"Dickson, William P. (William Purdie)"
375,"Campbell, Blendon"
376,"Shiel, M. P. (Matthew Phipps)"
377,"Hobson, J. A. (John Atkinson)"
378,"Melville, Herman"
379,"Bullitt, William C. (William Christian)"
380,"Saunders, T. Bailey (Thomas Bailey)"
381,"Abercrombie, Lascelles"
382,"Pindar"
383,"Ostrovsky, Aleksandr Nikolaevich"
384,"Stowe, Harriet Beecher"
385,"Alger, Horatio, Jr."
386,"Chaplin, Ralph"
387,"Newell, Jane H. (Jane Hancox)"
388,"Barrett, Frank"
389,"Walton, O. F., Mrs."
390,"Schopenhauer, Arthur"
391,"McCleary, J. T. (James Thompson)"
392,"Fox, John"
393,"Merrill, Rufus"
394,"Draycott, Gladys M."
395,"Allen, James"
396,"Spafford, Oliver"
397,"Falkner, John Meade"
398,"Phelps, Elizabeth Stuart"
399,"Rostand, Edmond"
400,"Sheard, Virna"
401,"Lomax, E. L. (Edward Lloyd)"
402,"Mason, A. E. W. (Alfred Edward Woodley)"
403,"Rushkoff, Douglas"
404,"Smith, John Stafford"
405,"Bramah, Ernest"
406,"Torrey, Bradford"
407,"Eliot, George"
408,"Adams, St. Clair"
409,"Brayman, James O."
410,"Philp, Robert Kemp"
411,"Barrie, J. M. (James Matthew)"
412,"Wilkes, Charles"
413,"Miller, John Maurice"
414,"Bingham, Hiram"
415,"Willson, Thomas E."
416,"Appleton, Victor"
417,"Le Feuvre, Amy"
418,"Scott, Walter"
419,"Altsheler, Joseph A. (Joseph Alexander)"
420,"Litchfield, Grace Denio"
421,"Sterne, Laurence"
422,"Eastman, Mary H. (Mary Henderson)"
423,"Home, Gordon"
424,"Bolles, John R. (John Rogers)"
425,"Wharton, Philip"
426,"Cobb, Irvin S. (Irvin Shrewsbury)"
427,"Richardson, Samuel"
428,"Swift, Jonathan"
429,"Burton, Robert"
430,"Coleridge, Samuel Taylor"
431,"Haywood, Eliza Fowler"
432,"Daggett, David"
433,"Dunsany, Lord"
434,"Consumers' League of New York City"
435,"University of Oxford. Faculty of Modern History"
436,"Gogol, Nikolai Vasilevich"
437,"Cozzens, Samuel Woodworth"
438,"Christian Brothers"
439,"Boyd, A. S. (Alexander Stuart)"
440,"Olmsted, Everett Ward"
441,"Richardson, James D. (James Daniel)"
442,"Crowquill, Alfred"
443,"Sinclair, May"
444,"Inglis, James"
445,"Bishop, Nathaniel H. (Nathaniel Holmes)"
446,"Thomson, Ninian Hill"
447,"Livy"
448,"Thwaites, William H."
449,"Wilder, Sampson Vryling Stoddard"
450,"Griggs, Edward Howard"
451,"Johnson, James"
452,"First Presbyterian Church (Marion, Ohio). Ladies' Aid Society"
453,"Favenc, Ernest"
454,"Kitson, Arthur"
455,"Yerkes, Robert Mearns"
456,"Wise, Thomas A. (Thomas Alfred)"
457,"Farrar, F. W. (Frederic William)"
458,"Vale, Ferna"
459,"Lamb, Charles"
460,"Webster, Angus Duncan"
461,"Teachers of the School Street Universalist Sunday School. Boston"
462,"Wallace, Alfred Russel"
463,"Griffiths, Charles John"
464,"Cox, James"
465,"Williams, Helen Maria"
466,"Beesly, A. H. (Augustus Henry)"
467,"Leighton, John"
468,"Dwyer, James Francis"
469,"Fellowes, W. D. (William Dorset)"
470,"Emmerich, Anna Katharina"
471,"Archer, William"
472,"Rolland, Romain"
473,"Camp, Wadsworth"
474,"Roth, Lewis"
475,"Burgess, Gelett"
476,"Staley, Edgcumbe"
477,"Riley, Harvey"
478,"Seton, Ernest Thompson"
479,"Benson, E. F. (Edward Frederic)"
480,"Cassius Dio Cocceianus"
481,"Smiles, Samuel"
482,"Whicher, George Frisbie"
483,"Young, Egerton Ryerson"
484,"Haggard, H. Rider (Henry Rider)"
485,"Davies, Ebenezer"
486,"Douglas, O."
487,"Millay, Edna St. Vincent"
488,"Donnell, Annie Hamilton"
489,"Jenness, Theodora R. (Theodora Robinson)"
490,"Standish, Burt L."
491,"Braddon, M. E. (Mary Elizabeth)"
492,"United States. War Department"
493,"Hawks, Francis L. (Francis Lister)"
494,"Hall, Mosiah"
495,"Green, Horace"
496,"Taylor, Bayard"
497,"Sunity Devee, Maharani of Cooch Behar"
498,"Ballantyne, R. M. (Robert Michael)"
499,"Palmer, Frederick"
500,"Lagerlöf, Selma"
501,"Burnham, Margaret"
502,"Power, P. (Patrick)"
503,"Reinach, Salomon"
504,"Dyce, Alexander"
505,"Jacob, P. L."
506,"White, Stewart Edward"
507,"Futrelle, Jacques"
